steps,1,2,3,4,5,6,7,8,9,10,11,12,13
1dice,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0
2dices,0,0.027777778,0.055555556,0.083333333,0.111111111,0.138888889,0.166666667,0.138888889,0.111111111,0.083333333,0.055555556,0.027777778,0
3dices,0,0,0.00462963,0.013888889,0.027777778,0.046296296,0.069444444,0.097222222,0.115740741,0.125,0.125,0.115740741,0.097222222
bestchoose,1,1,1,1,1,1,2,2,3,3,3,3,3
,,,,,,,,,,,,,
,14,15,16,17,18,,,,,,,,
,0,0,0,0,0,,,,,,,,
,0,0,0,0,0,,,,,,,,
,0.069444444,0.046296296,0.027777778,0.013888889,0.00462963,,,,,,,,
,3,3,3,3,3,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
so,step,dices,,,,,,,,,,,
,1 to 6,1,,,,,,,,,,,
,7 and 8,2,,,,,,,,,,,
,9 to 18,3,,,,,,,,,,,
